言語コード,名称,Google API,Microsoft API,開発用API,Accept-Language
af,アフリカーンス語,af,af,af,af
sq,アルバニア語,sq,,sq,sq
am,アムハラ語,am,,am,am
ar,アラビア語,ar,ar,ar,ar
hy,アルメニア語,hy,,hy,hy
az,アゼルバイジャン語,az,,az,az
eu,バスク語,eu,,eu,eu
be,ベラルーシ語,be,,be,be
bn,ベンガル語,bn,bn,bn,bn
bs,ボスニア語,bs,bs,bs,bs
bg,ブルガリア語,bg,bg,bg,bg
my,ビルマ語,my,,my,my
ca,カタルーニャ語,ca,ca,ca,ca
ceb,セブアノ語,ceb,,ceb,ceb
cs,チェコ語,cs,cs,cs,cs
zh-CN,中国語（簡体）,zh-CN,zh-Hans,zh-CN,"zh
zh-CN"
zh-TW,中国語（繁体）,zh-TW,zh-Hant,zh-TW,zh-TW
yue,広東語,,yue,yue,yue
co,コルシカ語,co,,co,co
cy,ウェールズ語,cy,cy,cy,cy
da,デンマーク語,da,da,da,da
de,ドイツ語,de,de,de,de
nl,オランダ語,nl,nl,nl,nl
el,現代ギリシア語,el,el,el,el
en,英語,en,en,en,en
eo,エスペラント,eo,,eo,eo
et,エストニア語,et,et,et,et
fa,ペルシア語,fa,fa,fa,fa
fj,フィジー語,,fj,fj,fj
fi,フィンランド語,fi,fi,fi,fi
fr,フランス語,fr,fr,fr,fr
fy,西フリジア語,fy,,fy,fy
ka,グルジア語,ka,,ka,ka
gd,スコットランド・ゲール語,gd,,gd,gd
ga,アイルランド語,ga,,ga,ga
gl,ガリシア語,gl,,gl,gl
gu,グジャラート語,gu,,gu,gu
ht,ハイチ語,ht,ht,ht,ht
ha,ハウサ語,ha,,ha,ha
haw,ハワイ語,haw,,haw,haw
he,ヘブライ語,he,he,he,he
hi,ヒンディー語,hi,hi,hi,hi
hmn,ミャオ語,hmn,mww,hmn,hmn
hr,クロアチア語,hr,hr,hr,hr
hu,ハンガリー語,hu,hu,hu,hu
ig,イボ語,ig,,ig,ig
is,アイスランド語,is,is,is,is
id,インドネシア語,id,id,id,id
it,イタリア語,it,it,it,it
jv,ジャワ語,jw,,jv,jv
ja,日本語,ja,ja,ja,ja
kn,カンナダ語,kn,,kn,kn
kk,カザフ語,kk,,kk,kk
km,クメール語,km,,km,km
ky,キルギス語,ky,,ky,ky
ko,韓国語,ko,ko,ko,ko
ku,クルド語,ku,,ku,ku
lo,ラーオ語,lo,,lo,lo
la,ラテン語,la,,la,la
lv,ラトビア語,lv,lv,lv,lv
lt,リトアニア語,lt,lt,lt,lt
lb,ルクセンブルク語,lb,,lb,lb
mk,マケドニア語,mk,,mk,mk
ml,マラヤーラム語,ml,,ml,ml
mi,マオリ語,mi,mi,mi,mi
mr,マラーティー語,mr,,mr,mr
ms,マレー語,ms,ms,ms,ms
mg,マダガスカル語,mg,mg,mg,mg
mt,マルタ語,mt,mt,mt,mt
mn,モンゴル語,mn,,mn,mn
yua,マヤ語族,,yua,yua,yua
ne,ネパール語,ne,,ne,ne
nb,ブークモール（ノルウェー語）,,nb,nb,nb
no,ノルウェー語,no,,no,no
ny,チェワ語,ny,,ny,ny
otq,オトミ語族（英語版）,,otq,otq,otq
pa,パンジャーブ語,pa,,pa,pa
pl,ポーランド語,pl,pl,pl,pl
pt,ポルトガル語,pt,pt,pt,pt
ps,パシュトー語,ps,,ps,ps
ro,ルーマニア語／モルドバ語,ro,ro,ro,ro
ru,ロシア語,ru,ru,ru,ru
si,シンハラ語,si,,si,si
sk,スロバキア語,sk,sk,sk,sk
sl,スロベニア語,sl,sl,sl,sl
sm,サモア語,sm,sm,sm,sm
sn,ショナ語,sn,,sn,sn
sd,シンド語,sd,,sd,sd
so,ソマリ語,so,,so,so
st,ソト語,st,,st,st
es,スペイン語,es,es,es,es
sr,セルビア語,sr,sr-Cyrl,sr,sr
su,スンダ語,su,,su,su
sw,スワヒリ語,sw,sw,sw,sw
sv,スウェーデン語,sv,sv,sv,sv
ty,タヒチ語,,ty,ty,ty
ta,タミル語,ta,ta,ta,ta
te,テルグ語,te,te,te,te
tg,タジク語,tg,,tg,tg
tl,タガログ語（フィリピン語）,tl,fil,tl,tl
th,タイ語,th,th,th,th
tlh,クリンゴン語,,tlh,tlh,tlh
to,トンガ語,,to,to,to
tr,トルコ語,tr,tr,tr,tr
uk,ウクライナ語,uk,uk,uk,uk
ur,ウルドゥー語,ur,ur,ur,ur
uz,ウズベク語,uz,,uz,uz
vi,ベトナム語,vi,vi,vi,vi
xh,コサ語,xh,,xh,xh
yi,イディッシュ語,yi,,yi,yi
yo,ヨルバ語,yo,,yo,yo
zu,ズールー語,zu,,zu,zu
